,state,time,testing,app,ages
0,8,0.8718626612030346,2,0,9
1,1,0.039597979746446646,0,0,3
2,6,4.060207137572682,1,0,5
3,1,1.0104555903156027,0,0,9
4,6,2.3256742033225257,1,0,9
5,0,10.000611206322946,0,0,8
6,3,5.22551911296852,1,0,6
7,1,0.4030508652763368,0,0,4
8,0,10.000611206322946,0,0,7
9,0,10.000611206322946,0,0,6
10,0,10.000611206322946,0,0,9
11,5,1.2225876246715746,1,0,3
12,6,0.25385133444596997,1,0,4
13,1,0.47800418408211354,0,0,9
14,7,2.6035671683287616,0,0,4
15,0,10.000611206322946,0,0,7
16,0,10.000611206322946,0,0,9
17,6,2.7025621176948507,1,0,6
18,0,10.000611206322946,0,0,4
19,1,0.720541810029108,0,0,9
20,0,10.000611206322946,0,0,9
21,0,10.000611206322946,0,0,7
22,0,10.000611206322946,0,0,3
23,3,8.000206122345503,1,0,3
24,0,10.000611206322946,0,0,7
25,7,3.4018907242881515,0,0,8
26,5,0.38678740930904565,1,0,1
27,0,10.000611206322946,0,0,9
28,2,0.8973185053257512,0,0,9
29,0,10.000611206322946,0,0,1
30,6,2.114249275747807,1,0,4
31,3,5.627862871463806,1,0,3
32,0,10.000611206322946,0,0,1
33,6,0.39668690424565767,1,0,4
34,8,2.5632620818011396,2,0,4
35,6,0.9475230867899979,1,0,9
36,6,2.670742312541465,1,0,8
37,7,1.1023794718698572,1,0,1
38,8,1.5584633457351966,2,0,2
39,6,1.260064284074463,1,0,2
40,2,2.5187143545863995,0,0,1
41,6,2.1821315267416965,1,0,1
42,0,10.000611206322946,0,0,6
43,0,10.000611206322946,0,0,9
44,0,10.000611206322946,0,0,4
45,0,10.000611206322946,0,0,9
46,0,10.000611206322946,0,0,1
47,0,10.000611206322946,0,0,3
48,0,10.000611206322946,0,0,1
49,1,1.192182033080552,0,0,8
50,1,1.3633018741277025,0,0,7
51,0,10.000611206322946,0,0,3
52,6,0.1315218613006975,1,0,8
53,6,1.6871567799111529,1,0,6
54,6,0.42921381618024,1,0,8
55,8,3.356635890292225,2,0,7
56,6,0.6950859659063914,1,0,4
57,1,1.4361338725899195,0,0,3
58,6,2.1496046148071244,1,0,6
59,5,1.2904698756654855,1,0,8
60,0,10.000611206322946,0,0,7
61,6,3.589981128083721,1,0,2
62,1,0.5861915216036592,0,0,4
63,0,10.000611206322946,0,0,9
64,6,2.2867833303572764,1,0,7
65,1,0.7170062761231751,0,0,1
66,2,1.6977633816289515,0,0,9
67,0,10.000611206322946,0,0,4
68,5,0.4320422433049863,1,0,3
69,0,10.000611206322946,0,0,4
70,0,10.000611206322946,0,0,8
71,1,1.1511698397717307,0,0,9
72,8,1.8434273785533855,2,0,1
73,1,0.9595439020701696,0,0,1
74,2,0.08626702730475862,0,0,3
75,0,10.000611206322946,0,0,5
76,8,2.493965617244877,2,0,4
77,0,10.000611206322946,0,0,9
78,0,10.000611206322946,0,0,3
79,0,10.000611206322946,0,0,8
80,0,10.000611206322946,0,0,1
81,0,10.000611206322946,0,0,1
82,0,10.000611206322946,0,0,4
83,0,10.000611206322946,0,0,2
84,2,0.11808683245815314,0,0,8
85,1,1.359059233440583,0,0,3
86,8,0.7558971490884366,2,0,5
87,1,0.20223253941935201,0,0,8
88,1,1.0981368311827377,0,0,9
89,6,1.6779643917557274,1,0,6
90,0,10.000611206322946,0,0,2
91,0,10.000611206322946,0,0,2
92,0,10.000611206322946,0,0,4
93,0,10.000611206322946,0,0,2
94,0,10.000611206322946,0,0,3
95,0,10.000611206322946,0,0,7
96,0,10.000611206322946,0,0,5
97,0,10.000611206322946,0,0,3
98,0,10.000611206322946,0,0,7
99,8,2.2401142827989773,2,0,2
100,0,10.000611206322946,0,0,9
101,7,2.4564889578420006,0,0,3
102,6,2.170817818242715,1,0,9
103,0,10.000611206322946,0,0,6
104,6,0.6130615792887489,1,0,7
105,0,10.000611206322946,0,0,9
106,1,0.8725697679842211,0,0,4
107,0,10.000611206322946,0,0,2
108,5,1.0394469683442522,1,0,9
109,0,10.000611206322946,0,0,8
110,0,10.000611206322946,0,0,4
111,5,1.1928891398617385,1,0,5
112,0,10.000611206322946,0,0,4
113,0,10.000611206322946,0,0,9
114,8,1.6581654018825034,2,0,9
115,0,10.000611206322946,0,0,4
116,1,0.6738727624707942,0,0,8
117,0,10.000611206322946,0,0,5
118,2,0.00282842712474619,0,0,3
119,6,0.7191275964667349,1,0,7
120,2,1.0097484835344162,0,0,1
121,1,1.6814999256616603,0,0,5
122,7,3.5892740213025345,1,0,4
123,6,0.7954951288348847,1,0,3
124,0,10.000611206322946,0,0,7
125,0,10.000611206322946,0,0,5
126,5,0.5260874452028005,1,0,5
127,7,2.6756920600097693,1,0,3
128,1,0.7240773439350409,0,0,8
129,8,3.8650456659652113,2,0,8
130,1,0.9835855326305131,0,0,5
131,0,10.000611206322946,0,0,6
132,7,3.300067347797317,1,0,6
133,3,4.807619005287124,1,0,9
134,1,1.5125014049580694,0,0,1
135,0,10.000611206322946,0,0,6
136,1,1.974949239854088,0,0,9
137,6,1.5139156185204425,1,0,9
138,0,10.000611206322946,0,0,3
139,6,1.6369521984469062,1,0,5
140,6,0.3252691193458138,1,0,9
141,0,10.000611206322946,0,0,1
142,6,4.47103617744221,1,0,9
143,5,1.93535126010764,1,0,1
144,6,1.7826161953713402,1,0,9
145,0,10.000611206322946,0,0,9
146,5,1.6666506832567423,1,0,1
147,6,1.969999492385782,1,0,9
148,2,1.9523218228561177,0,0,2
149,0,10.000611206322946,0,0,9
150,0,10.000611206322946,0,0,9
151,0,10.000611206322946,0,0,3
152,0,10.000611206322946,0,0,9
153,4,5.217740938375465,1,0,3
154,0,10.000611206322946,0,0,3
155,1,1.9784847737600209,0,0,8
156,0,10.000611206322946,0,0,9
157,0,10.000611206322946,0,0,4
158,0,10.000611206322946,0,0,4
159,1,0.5678067452928083,0,0,9
160,0,10.000611206322946,0,0,4
161,5,1.279863273947687,1,0,2
162,6,0.0954594154601837,1,0,5
163,6,2.2952686117315126,1,0,5
164,6,4.34092852970384,1,0,8
165,6,1.3265323215060008,1,0,3
166,1,0.3379970414071721,0,0,3
167,7,2.0689944417518804,1,0,6
168,6,1.6270527035102942,1,0,1
169,6,3.9201999948977466,1,0,4
170,6,1.2423866145447986,1,0,4
171,3,7.772517738803355,1,0,6
172,5,1.3930003589375386,1,0,5
173,0,10.000611206322946,0,0,2
174,1,1.0344972208759462,0,0,3
175,6,0.8011519830843773,1,0,1
176,6,1.3618876605653294,1,0,1
177,2,1.2339013331705597,0,0,3
178,2,2.275469621858295,0,0,9
179,0,10.000611206322946,0,0,9
180,0,10.000611206322946,0,0,9
181,0,10.000611206322946,0,0,9
182,6,1.741604002062519,1,0,1
183,0,10.000611206322946,0,0,3
184,0,10.000611206322946,0,0,9
185,1,0.49073210614347185,0,0,5
186,3,5.430580079512691,1,0,4
